,UMAP1,UMAP2,UMAP3,cluster_label,Planet
64,7.3121715,12.403955,5.871662,0,CoRoT-7 c
65,7.526021,10.192142,4.684964,0,CoRoT-7 c
66,11.467874,9.865541,2.59241,0,DMPP-2 b
67,3.5237987,10.3326435,5.535823,0,EPIC 201757695.02
68,-1.380177,9.241068,4.5648785,1,G 9-40 b
69,0.28117272,8.076626,2.3661044,1,GJ 1061 b
70,0.28320464,8.072865,2.376932,1,GJ 1061 c
71,0.46190792,8.003591,2.3592525,1,GJ 1061 d
72,0.0903701,8.18733,2.5640743,1,GJ 1132 b
73,0.22364819,8.148813,2.4905915,1,GJ 1132 c
74,0.78033626,8.116223,2.7778647,1,GJ 1148 b
75,0.76015174,8.069301,2.6491556,1,GJ 1148 b
76,0.915712,8.083358,2.7613122,1,GJ 1148 c
77,-1.3580909,8.758388,3.207515,1,GJ 1214 b
78,-0.86218125,9.27263,4.90308,1,GJ 1252 b
79,-1.508562,8.780263,3.134292,1,GJ 1265 b
80,5.9847956,9.610564,4.7707877,0,GJ 143 b
81,8.459692,3.7921808,6.2009773,4,GJ 15 A c
82,1.0410153,8.671389,4.582517,1,GJ 179 b
83,-0.24526277,8.590266,3.7526813,1,GJ 251 b
84,-0.6503347,8.558078,3.5099356,1,GJ 273 b
85,-0.20549105,8.431463,3.3194454,1,GJ 273 c
86,7.625439,5.68182,2.65844,4,GJ 3021 b
87,1.1775981,8.176422,2.9897218,1,GJ 3090 b
88,1.0186774,8.480654,3.6344812,1,GJ 3138 b
89,1.046895,8.781329,4.2086096,1,GJ 3138 c
90,1.2321496,8.169459,3.0243924,1,GJ 3138 d
91,8.732899,4.1253405,6.1909685,4,GJ 328 b
92,-0.10688166,8.837362,4.4905963,1,GJ 3293 b
93,0.001483671,8.7776985,4.3883567,1,GJ 3293 b
94,0.4274625,8.646604,4.085295,1,GJ 3293 c
95,1.0134928,8.103058,2.8164952,1,GJ 3293 c
96,0.3467041,8.612771,3.9783783,1,GJ 3293 d
